DEPTH,CALI,DRHO,NPHI,PEF,RT,KLOGH,PHIF,VSH
3375.2,8.578,0.071,0.256,6.696,2.491,0.001,0.038,0.766
3375.3,8.578,0.067,0.257,6.586,2.507,0.001,0.042,0.762
3375.4,8.578,0.061,0.256,6.527,2.515,0.001,0.047,0.753
3375.5,8.578,0.054,0.255,6.528,2.506,0.001,0.052,0.766
3375.6,8.594,0.049,0.253,6.556,2.5,0.001,0.056,0.78
3375.7,8.625,0.049,0.253,6.563,2.52,0.001,0.059,0.771
3375.8,8.578,0.051,0.255,6.543,2.491,0.001,0.06,0.747
3375.9,8.609,0.053,0.252,6.521,2.462,0.001,0.06,0.743
3376,8.578,0.054,0.254,6.518,2.43,0.001,0.06,0.732
3376.1,8.609,0.054,0.254,6.519,2.492,0.001,0.057,0.759
3376.2,8.578,0.057,0.254,6.509,2.554,0.001,0.055,0.771
3376.3,8.578,0.06,0.252,6.498,2.503,0.001,0.054,0.767
3376.4,8.578,0.061,0.249,6.495,2.491,0.001,0.055,0.772
3376.5,8.578,0.059,0.248,6.505,2.612,0.001,0.06,0.747
3376.6,8.578,0.057,0.249,6.519,2.615,0.001,0.064,0.755
3376.7,8.578,0.056,0.252,6.529,2.53,0.001,0.066,0.763
3376.8,8.578,0.058,0.255,6.521,2.419,0.001,0.065,0.744
3376.9,8.578,0.06,0.257,6.49,2.561,0.001,0.063,0.751
3377,8.578,0.061,0.259,6.457,2.627,0.001,0.063,0.728
3377.1,8.609,0.058,0.257,6.453,2.609,0.001,0.065,0.723
3377.2,8.609,0.051,0.257,6.499,2.358,0.001,0.068,0.726
3377.3,8.578,0.042,0.253,6.581,2.377,0.001,0.071,0.723
3377.4,8.578,0.034,0.248,6.645,2.337,0.001,0.073,0.757
3377.5,8.578,0.033,0.245,6.655,2.363,0.001,0.07,0.762
3377.6,8.578,0.038,0.244,6.604,2.354,0.001,0.064,0.747
3377.7,8.578,0.048,0.245,6.528,2.372,0.001,0.056,0.73
3377.8,8.578,0.055,0.246,6.483,2.269,0.001,0.047,0.731
3377.9,8.578,0.056,0.248,6.504,2.487,0.001,0.043,0.749
3378,8.578,0.052,0.248,6.583,2.7,0.001,0.042,0.759
3378.1,8.578,0.049,0.246,6.668,2.617,0.001,0.041,0.759
3378.2,8.578,0.05,0.241,6.715,2.651,0.001,0.04,0.748
3378.3,8.578,0.053,0.236,6.717,2.652,0.001,0.039,0.745
3378.4,8.578,0.056,0.23,6.7,2.644,0.001,0.04,0.726
3378.5,8.578,0.057,0.228,6.678,2.684,0.001,0.041,0.72
3378.6,8.578,0.056,0.229,6.648,2.656,0.001,0.042,0.721
3378.7,8.578,0.055,0.232,6.614,2.676,0.001,0.041,0.703
3378.8,8.578,0.054,0.234,6.6,2.694,0.001,0.04,0.718
3378.9,8.609,0.053,0.232,6.611,2.698,0.001,0.039,0.72
3379,8.625,0.053,0.23,6.622,2.703,0.001,0.038,0.717
3379.1,8.578,0.053,0.231,6.605,2.709,0.001,0.038,0.723
3379.2,8.578,0.053,0.231,6.56,2.714,0.001,0.039,0.725
3379.3,8.578,0.054,0.236,6.506,2.652,0.001,0.041,0.71
3379.4,8.578,0.054,0.243,6.45,2.66,0.001,0.044,0.715
3379.5,8.578,0.053,0.252,6.38,2.624,0.001,0.05,0.723
3379.6,8.578,0.052,0.258,6.313,2.639,0.001,0.055,0.717
3379.7,8.578,0.053,0.261,6.288,2.568,0.001,0.06,0.741
3379.8,8.609,0.056,0.26,6.322,2.56,0.001,0.062,0.758
3379.9,8.625,0.059,0.262,6.391,2.6,0.001,0.062,0.761
3380,8.594,0.062,0.269,6.448,2.454,0.001,0.063,0.756
3380.1,8.578,0.063,0.272,6.469,2.288,0.001,0.064,0.741
3380.2,8.578,0.064,0.273,6.472,2.226,0.001,0.065,0.711
3380.3,8.578,0.063,0.273,6.499,2.419,0.001,0.065,0.709
3380.4,8.625,0.061,0.267,6.56,2.467,0.001,0.066,0.722
3380.5,8.594,0.058,0.267,6.623,2.395,0.001,0.067,0.724
3380.6,8.578,0.054,0.265,6.647,2.408,0.001,0.067,0.706
3380.7,8.578,0.053,0.267,6.625,2.395,0.001,0.067,0.705
3380.8,8.594,0.054,0.269,6.575,2.443,0.001,0.065,0.709
3380.9,8.625,0.057,0.273,6.511,2.558,0.001,0.062,0.714
3381,8.578,0.059,0.276,6.444,2.596,0.001,0.062,0.677
3381.1,8.578,0.059,0.273,6.383,2.773,0.001,0.064,0.678
3381.2,8.578,0.058,0.27,6.341,2.985,0.001,0.067,0.684
3381.3,8.578,0.057,0.271,6.326,3.16,0.001,0.069,0.685
3381.4,8.609,0.055,0.271,6.333,3.341,0.001,0.071,0.689
3381.5,8.609,0.05,0.275,6.36,3.303,0.001,0.074,0.69
3381.6,8.578,0.045,0.274,6.413,3.347,0.001,0.075,0.691
3381.7,8.578,0.043,0.272,6.478,3.411,0.001,0.074,0.702
3381.8,8.625,0.047,0.268,6.513,3.424,0.001,0.069,0.725
3381.9,8.625,0.054,0.267,6.497,3.47,0.001,0.063,0.737
3382,8.578,0.058,0.268,6.448,3.474,0.001,0.06,0.737
3382.1,8.578,0.06,0.265,6.427,3.527,0.001,0.06,0.723
3382.2,8.578,0.062,0.26,6.461,3.441,0.001,0.061,0.707
3382.3,8.578,0.062,0.255,6.534,3.516,0.001,0.062,0.687
3382.4,8.578,0.06,0.252,6.637,3.75,0.001,0.061,0.695
3382.5,8.609,0.056,0.247,6.781,3.778,0.001,0.059,0.691
3382.6,8.625,0.052,0.243,6.929,3.651,0.001,0.054,0.715
3382.7,8.625,0.05,0.237,7.024,3.563,0.001,0.047,0.726
3382.8,8.625,0.05,0.231,7.01,3.503,0.001,0.041,0.758
3382.9,8.609,0.051,0.231,6.907,3.696,0.001,0.038,0.784
