DEPTH,CALI,DRHO,NPHI,PEF,RT,KLOGH,PHIF,VSH
4485.5,8.672,0.066,0.146,5.538,0.753,11.975,0.142,0.228
4485.6,8.672,0.064,0.144,5.454,0.756,15.64,0.145,0.218
4485.7,8.672,0.062,0.141,5.421,0.718,18.17,0.147,0.213
4485.8,8.672,0.058,0.137,5.455,0.72,20.017,0.149,0.21
4485.9,8.672,0.055,0.132,5.529,0.729,18.225,0.146,0.212
4486,8.672,0.054,0.128,5.602,0.757,14.137,0.139,0.218
4486.1,8.682,0.056,0.128,5.667,0.852,11.963,0.13,0.218
4486.2,8.672,0.06,0.131,5.749,0.942,10.853,0.12,0.214
4486.3,8.682,0.064,0.137,5.841,1.016,9.708,0.113,0.213
4486.4,8.703,0.069,0.141,5.896,1.028,6.049,0.111,0.234
4486.5,8.703,0.072,0.146,5.869,1.014,4.629,0.113,0.249
4486.6,8.687,0.074,0.152,5.766,0.931,5.55,0.12,0.246
4486.7,8.672,0.072,0.154,5.641,0.792,9.074,0.131,0.232
4486.8,8.672,0.068,0.157,5.541,0.655,12.087,0.143,0.229
4486.9,8.672,0.064,0.159,5.484,0.584,17.119,0.153,0.221
4487,8.641,0.063,0.165,5.467,0.605,19.932,0.16,0.22
4487.1,8.625,0.064,0.169,5.475,0.644,22.456,0.165,0.219
4487.2,8.648,0.064,0.17,5.483,0.613,33.903,0.171,0.205
4487.3,8.625,0.063,0.175,5.48,0.533,49.62,0.179,0.193
4487.4,8.672,0.061,0.174,5.465,0.444,53.143,0.187,0.197
4487.5,8.656,0.059,0.179,5.456,0.392,62.186,0.193,0.195
4487.6,8.648,0.057,0.181,5.45,0.366,65.836,0.196,0.195
4487.7,8.648,0.057,0.18,5.432,0.362,65.841,0.197,0.195
4487.8,8.625,0.058,0.184,5.392,0.37,74.82,0.195,0.188
4487.9,8.672,0.06,0.183,5.335,0.377,71.907,0.194,0.188
4488,8.672,0.061,0.185,5.275,0.374,84.398,0.194,0.181
4488.1,8.672,0.061,0.186,5.223,0.365,105.19,0.197,0.173
4488.2,8.672,0.06,0.187,5.196,0.349,97.417,0.201,0.18
4488.3,8.641,0.059,0.188,5.216,0.327,110.19,0.205,0.178
4488.4,8.672,0.057,0.189,5.265,0.315,121.841,0.207,0.175
4488.5,8.672,0.056,0.188,5.31,0.307,123.871,0.207,0.174
4488.6,8.672,0.055,0.188,5.324,0.317,121.18,0.206,0.173
4488.7,8.648,0.055,0.187,5.308,0.327,115.841,0.204,0.174
4488.8,8.625,0.056,0.191,5.29,0.333,109.436,0.203,0.176
4488.9,8.625,0.058,0.192,5.294,0.334,124.778,0.202,0.169
4489,8.625,0.059,0.192,5.32,0.329,135.609,0.202,0.165
4489.1,8.625,0.06,0.191,5.352,0.324,139.038,0.203,0.164
4489.2,8.625,0.059,0.189,5.376,0.317,143.651,0.203,0.163
4489.3,8.672,0.059,0.185,5.391,0.31,140.661,0.202,0.163
4489.4,8.672,0.058,0.186,5.401,0.312,128.124,0.202,0.167
4489.5,8.672,0.058,0.188,5.398,0.321,141.149,0.201,0.162
4489.6,8.648,0.058,0.192,5.382,0.325,119.46,0.201,0.17
4489.7,8.656,0.058,0.19,5.361,0.324,120.561,0.201,0.169
4489.8,8.625,0.057,0.193,5.361,0.325,117.092,0.201,0.171
4489.9,8.625,0.057,0.192,5.384,0.328,117.062,0.2,0.17
4490,8.641,0.058,0.192,5.414,0.333,117.646,0.198,0.168
4490.1,8.672,0.059,0.189,5.424,0.333,102.534,0.196,0.173
4490.2,8.672,0.06,0.19,5.41,0.329,87.366,0.194,0.179
4490.3,8.648,0.062,0.192,5.385,0.327,96.815,0.193,0.174
4490.4,8.672,0.064,0.189,5.364,0.331,102.115,0.194,0.172
4490.5,8.672,0.064,0.188,5.357,0.322,116.112,0.196,0.167
4490.6,8.672,0.063,0.189,5.371,0.319,139.3,0.199,0.161
4490.7,8.641,0.062,0.19,5.399,0.314,143.602,0.201,0.161
4490.8,8.672,0.061,0.192,5.427,0.308,143.772,0.201,0.161
